"url","Name","Name_link","URLs","URLs_link"
"https://www.city-data.com/city/Nebraska.html","Adams, NE","","Adams, NE",""
"https://www.city-data.com/city/Nebraska.html","Ainsworth, NE","","Ainsworth, NE",""
"https://www.city-data.com/city/Nebraska.html","Albion, NE","","Albion, NE",""
"https://www.city-data.com/city/Nebraska.html","Alda","","Alda",""
"https://www.city-data.com/city/Nebraska.html","Allen, NE","","Allen, NE",""
"https://www.city-data.com/city/Nebraska.html","Alliance, NE","","Alliance, NE","https://www.city-data.com/city/Alliance-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Alma, NE","","Alma, NE",""
"https://www.city-data.com/city/Nebraska.html","Amherst, NE","","Amherst, NE",""
"https://www.city-data.com/city/Nebraska.html","Ansley","","Ansley",""
"https://www.city-data.com/city/Nebraska.html","Arapahoe, NE","","Arapahoe, NE",""
"https://www.city-data.com/city/Nebraska.html","Arcadia, NE","","Arcadia, NE",""
"https://www.city-data.com/city/Nebraska.html","Arlington, NE","","Arlington, NE",""
"https://www.city-data.com/city/Nebraska.html","Arnold, NE","","Arnold, NE",""
"https://www.city-data.com/city/Nebraska.html","Ashland, NE","","Ashland, NE",""
"https://www.city-data.com/city/Nebraska.html","Atkinson, NE","","Atkinson, NE",""
"https://www.city-data.com/city/Nebraska.html","Auburn, NE","","Auburn, NE",""
"https://www.city-data.com/city/Nebraska.html","Aurora, NE","","Aurora, NE",""
"https://www.city-data.com/city/Nebraska.html","Avoca, NE","","Avoca, NE",""
"https://www.city-data.com/city/Nebraska.html","Axtell, NE","","Axtell, NE",""
"https://www.city-data.com/city/Nebraska.html","Bancroft, NE","","Bancroft, NE",""
"https://www.city-data.com/city/Nebraska.html","Bartley, NE","","Bartley, NE",""
"https://www.city-data.com/city/Nebraska.html","Bassett, NE","","Bassett, NE",""
"https://www.city-data.com/city/Nebraska.html","Battle Creek, NE","","Battle Creek, NE",""
"https://www.city-data.com/city/Nebraska.html","Bayard, NE","","Bayard, NE",""
"https://www.city-data.com/city/Nebraska.html","Beatrice, NE","","Beatrice, NE","https://www.city-data.com/city/Beatrice-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Beaver City","","Beaver City",""
"https://www.city-data.com/city/Nebraska.html","Beaver Crossing","","Beaver Crossing",""
"https://www.city-data.com/city/Nebraska.html","Beemer","","Beemer",""
"https://www.city-data.com/city/Nebraska.html","Bellevue, NE","","Bellevue, NE","https://www.city-data.com/city/Bellevue-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Bellwood, NE","","Bellwood, NE",""
"https://www.city-data.com/city/Nebraska.html","Belmar, NE","","Belmar, NE",""
"https://www.city-data.com/city/Nebraska.html","Benedict, NE","","Benedict, NE",""
"https://www.city-data.com/city/Nebraska.html","Benkelman","","Benkelman",""
"https://www.city-data.com/city/Nebraska.html","Bennet","","Bennet",""
"https://www.city-data.com/city/Nebraska.html","Bennington, NE","","Bennington, NE",""
"https://www.city-data.com/city/Nebraska.html","Bertrand, NE","","Bertrand, NE",""
"https://www.city-data.com/city/Nebraska.html","Big Springs","","Big Springs",""
"https://www.city-data.com/city/Nebraska.html","Bladen","","Bladen",""
"https://www.city-data.com/city/Nebraska.html","Blair, NE","","Blair, NE","https://www.city-data.com/city/Blair-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Bloomfield, NE","","Bloomfield, NE",""
"https://www.city-data.com/city/Nebraska.html","Blue Hill, NE","","Blue Hill, NE",""
"https://www.city-data.com/city/Nebraska.html","Blue Springs, NE","","Blue Springs, NE",""
"https://www.city-data.com/city/Nebraska.html","Boys Town","","Boys Town",""
"https://www.city-data.com/city/Nebraska.html","Bradshaw, NE","","Bradshaw, NE",""
"https://www.city-data.com/city/Nebraska.html","Brady, NE","","Brady, NE",""
"https://www.city-data.com/city/Nebraska.html","Brainard","","Brainard",""
"https://www.city-data.com/city/Nebraska.html","Bridgeport, NE","","Bridgeport, NE",""
"https://www.city-data.com/city/Nebraska.html","Broken Bow, NE","","Broken Bow, NE",""
"https://www.city-data.com/city/Nebraska.html","Brule, NE","","Brule, NE",""
"https://www.city-data.com/city/Nebraska.html","Bruning","","Bruning",""
"https://www.city-data.com/city/Nebraska.html","Burwell","","Burwell",""
"https://www.city-data.com/city/Nebraska.html","Butte, NE","","Butte, NE",""
"https://www.city-data.com/city/Nebraska.html","Cairo, NE","","Cairo, NE",""
"https://www.city-data.com/city/Nebraska.html","Callaway, NE","","Callaway, NE",""
"https://www.city-data.com/city/Nebraska.html","Cambridge, NE","","Cambridge, NE",""
"https://www.city-data.com/city/Nebraska.html","Campbell, NE","","Campbell, NE",""
"https://www.city-data.com/city/Nebraska.html","Carroll, NE","","Carroll, NE",""
"https://www.city-data.com/city/Nebraska.html","Cedar Bluffs","","Cedar Bluffs",""
"https://www.city-data.com/city/Nebraska.html","Cedar Creek, NE","","Cedar Creek, NE",""
"https://www.city-data.com/city/Nebraska.html","Cedar Rapids, NE","","Cedar Rapids, NE",""
"https://www.city-data.com/city/Nebraska.html","Central City, NE","","Central City, NE",""
"https://www.city-data.com/city/Nebraska.html","Ceresco","","Ceresco",""
"https://www.city-data.com/city/Nebraska.html","Chadron","","Chadron",""
"https://www.city-data.com/city/Nebraska.html","Chalco","","Chalco","https://www.city-data.com/city/Chalco-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Chambers","","Chambers",""
"https://www.city-data.com/city/Nebraska.html","Chapman, NE","","Chapman, NE",""
"https://www.city-data.com/city/Nebraska.html","Chappell","","Chappell",""
"https://www.city-data.com/city/Nebraska.html","Chester, NE","","Chester, NE",""
"https://www.city-data.com/city/Nebraska.html","Clarkson, NE","","Clarkson, NE",""
"https://www.city-data.com/city/Nebraska.html","Clarks, NE","","Clarks, NE",""
"https://www.city-data.com/city/Nebraska.html","Clatonia","","Clatonia",""
"https://www.city-data.com/city/Nebraska.html","Clay Center, NE","","Clay Center, NE",""
"https://www.city-data.com/city/Nebraska.html","Clearwater, NE","","Clearwater, NE",""
"https://www.city-data.com/city/Nebraska.html","Coleridge","","Coleridge",""
"https://www.city-data.com/city/Nebraska.html","Columbus, NE","","Columbus, NE","https://www.city-data.com/city/Columbus-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Cook, NE","","Cook, NE",""
"https://www.city-data.com/city/Nebraska.html","Cortland, NE","","Cortland, NE",""
"https://www.city-data.com/city/Nebraska.html","Cozad","","Cozad",""
"https://www.city-data.com/city/Nebraska.html","Crawford, NE","","Crawford, NE",""
"https://www.city-data.com/city/Nebraska.html","Creighton, NE","","Creighton, NE",""
"https://www.city-data.com/city/Nebraska.html","Creston, NE","","Creston, NE",""
"https://www.city-data.com/city/Nebraska.html","Crete, NE","","Crete, NE","https://www.city-data.com/city/Crete-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Crofton, NE","","Crofton, NE",""
"https://www.city-data.com/city/Nebraska.html","Culbertson, NE","","Culbertson, NE",""
"https://www.city-data.com/city/Nebraska.html","Curtis","","Curtis",""
"https://www.city-data.com/city/Nebraska.html","Dakota City, NE","","Dakota City, NE",""
"https://www.city-data.com/city/Nebraska.html","Dalton, NE","","Dalton, NE",""
"https://www.city-data.com/city/Nebraska.html","Dannebrog","","Dannebrog",""
"https://www.city-data.com/city/Nebraska.html","Davenport, NE","","Davenport, NE",""
"https://www.city-data.com/city/Nebraska.html","David City","","David City",""
"https://www.city-data.com/city/Nebraska.html","De Witt, NE","","De Witt, NE",""
"https://www.city-data.com/city/Nebraska.html","Decatur, NE","","Decatur, NE",""
"https://www.city-data.com/city/Nebraska.html","Deshler, NE","","Deshler, NE",""
"https://www.city-data.com/city/Nebraska.html","Diller","","Diller",""
"https://www.city-data.com/city/Nebraska.html","Dix, NE","","Dix, NE",""
"https://www.city-data.com/city/Nebraska.html","Dodge, NE","","Dodge, NE",""
"https://www.city-data.com/city/Nebraska.html","Doniphan, NE","","Doniphan, NE",""
"https://www.city-data.com/city/Nebraska.html","Dorchester, NE","","Dorchester, NE",""
"https://www.city-data.com/city/Nebraska.html","Duncan, NE","","Duncan, NE",""
"https://www.city-data.com/city/Nebraska.html","Eagle, NE","","Eagle, NE",""
"https://www.city-data.com/city/Nebraska.html","Edgar, NE","","Edgar, NE",""
"https://www.city-data.com/city/Nebraska.html","Elba, NE","","Elba, NE",""
"https://www.city-data.com/city/Nebraska.html","Elgin, NE","","Elgin, NE",""
"https://www.city-data.com/city/Nebraska.html","Elkhorn, NE","","Elkhorn, NE","https://www.city-data.com/city/Elkhorn-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Elm Creek, NE","","Elm Creek, NE",""
"https://www.city-data.com/city/Nebraska.html","Elmwood, NE","","Elmwood, NE",""
"https://www.city-data.com/city/Nebraska.html","Elwood, NE","","Elwood, NE",""
"https://www.city-data.com/city/Nebraska.html","Emerson, NE","","Emerson, NE",""
"https://www.city-data.com/city/Nebraska.html","Eustis, NE","","Eustis, NE",""
"https://www.city-data.com/city/Nebraska.html","Ewing, NE","","Ewing, NE",""
"https://www.city-data.com/city/Nebraska.html","Exeter, NE","","Exeter, NE",""
"https://www.city-data.com/city/Nebraska.html","Fairbury, NE","","Fairbury, NE",""
"https://www.city-data.com/city/Nebraska.html","Fairfield, NE","","Fairfield, NE",""
"https://www.city-data.com/city/Nebraska.html","Fairmont, NE","","Fairmont, NE",""
"https://www.city-data.com/city/Nebraska.html","Falls City, NE","","Falls City, NE",""
"https://www.city-data.com/city/Nebraska.html","Firth, NE","","Firth, NE",""
"https://www.city-data.com/city/Nebraska.html","Fort Calhoun","","Fort Calhoun",""
"https://www.city-data.com/city/Nebraska.html","Franklin, NE","","Franklin, NE",""
"https://www.city-data.com/city/Nebraska.html","Fremont, NE","","Fremont, NE","https://www.city-data.com/city/Fremont-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Friend","","Friend",""
"https://www.city-data.com/city/Nebraska.html","Fullerton, NE","","Fullerton, NE",""
"https://www.city-data.com/city/Nebraska.html","Garland, NE","","Garland, NE",""
"https://www.city-data.com/city/Nebraska.html","Geneva, NE","","Geneva, NE",""
"https://www.city-data.com/city/Nebraska.html","Genoa, NE","","Genoa, NE",""
"https://www.city-data.com/city/Nebraska.html","Gering","","Gering","https://www.city-data.com/city/Gering-Nebraska.html"
"https://www.city-data.com/city/Nebraska.html","Gibbon, NE","","Gibbon, NE",""
"https://www.city-data.com/city/Nebraska.html","Giltner","","Giltner",""
